nodenumber     x-coordinate     y-coordinate       x-velocity     y-coordinate     x-coordinate 
         1  5.000000000E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.000000000E-01 
         2  5.000000000E-01  2.000000000E-03  3.656586553E+00  2.000000000E-03  5.000000000E-01 
         3  5.000000000E-01  4.000000000E-03  4.246371350E+00  4.000000000E-03  5.000000000E-01 
         4  5.000000000E-01  6.000000000E-03  4.601103522E+00  6.000000000E-03  5.000000000E-01 
         5  5.000000000E-01  8.000000000E-03  4.848818832E+00  8.000000000E-03  5.000000000E-01 
         6  5.000000000E-01  1.000000000E-02  5.008808508E+00  1.000000000E-02  5.000000000E-01 
         7  5.000000000E-01  1.200000000E-02  5.098707893E+00  1.200000000E-02  5.000000000E-01 
         8  5.000000000E-01  1.400000000E-02  5.144192612E+00  1.400000000E-02  5.000000000E-01 
         9  5.000000000E-01  1.600000000E-02  5.166994515E+00  1.600000000E-02  5.000000000E-01 
        10  5.000000000E-01  1.800000000E-02  5.179062041E+00  1.800000000E-02  5.000000000E-01 
        11  5.000000000E-01  2.000000000E-02  5.185808637E+00  2.000000000E-02  5.000000000E-01 
        12  5.000000000E-01  2.200000000E-02  5.189687692E+00  2.200000000E-02  5.000000000E-01 
        13  5.000000000E-01  2.400000000E-02  5.191908832E+00  2.400000000E-02  5.000000000E-01 
        14  5.000000000E-01  2.600000000E-02  5.193125861E+00  2.600000000E-02  5.000000000E-01 
        15  5.000000000E-01  2.800000000E-02  5.193714669E+00  2.800000000E-02  5.000000000E-01 
        16  5.000000000E-01  3.000000000E-02  5.193906104E+00  3.000000000E-02  5.000000000E-01 
        17  5.000000000E-01  3.200000000E-02  5.193848599E+00  3.200000000E-02  5.000000000E-01 
        18  5.000000000E-01  3.400000000E-02  5.193641010E+00  3.400000000E-02  5.000000000E-01 
        19  5.000000000E-01  3.600000000E-02  5.193350869E+00  3.600000000E-02  5.000000000E-01 
        20  5.000000000E-01  3.800000000E-02  5.193025108E+00  3.800000000E-02  5.000000000E-01 
        21  5.000000000E-01  4.000000000E-02  5.192696645E+00  4.000000000E-02  5.000000000E-01 
        22  5.000000000E-01  4.200000000E-02  5.192388598E+00  4.200000000E-02  5.000000000E-01 
        23  5.000000000E-01  4.400000000E-02  5.192117025E+00  4.400000000E-02  5.000000000E-01 
        24  5.000000000E-01  4.600000000E-02  5.191892713E+00  4.600000000E-02  5.000000000E-01 
        25  5.000000000E-01  4.800000000E-02  5.191722408E+00  4.800000000E-02  5.000000000E-01 
        26  5.000000000E-01  5.000000000E-02  5.191609605E+00  5.000000000E-02  5.000000000E-01 
