nodenumber     x-coordinate     y-coordinate       x-velocity 
         1  5.000000000E-01  0.000000000E+00  0.000000000E+00 
         2  5.000000000E-01  1.059364491E-04  5.378093152E-01 
         3  5.000000000E-01  2.330601880E-04  1.152576675E+00 
         4  5.000000000E-01  3.856086747E-04  1.769173282E+00 
         5  5.000000000E-01  5.686668588E-04  2.294704013E+00 
         6  5.000000000E-01  7.883366796E-04  2.706332779E+00 
         7  5.000000000E-01  1.051940465E-03  3.035003326E+00 
         8  5.000000000E-01  1.368265007E-03  3.309653051E+00 
         9  5.000000000E-01  1.747854457E-03  3.549975619E+00 
        10  5.000000000E-01  2.203361798E-03  3.768470284E+00 
        11  5.000000000E-01  2.749970606E-03  3.972362826E+00 
        12  5.000000000E-01  3.405901177E-03  4.164259389E+00 
        13  5.000000000E-01  4.193017861E-03  4.344970956E+00 
        14  5.000000000E-01  5.137557883E-03  4.515801544E+00 
        15  5.000000000E-01  6.271005908E-03  4.673182103E+00 
        16  5.000000000E-01  7.631143539E-03  4.805167535E+00 
        17  5.000000000E-01  9.263308696E-03  4.902969820E+00 
        18  5.000000000E-01  1.122190688E-02  4.969935397E+00 
        19  5.000000000E-01  1.357222471E-02  5.014159039E+00 
        20  5.000000000E-01  1.639260610E-02  5.042384084E+00 
        21  5.000000000E-01  1.977706377E-02  5.059927557E+00 
        22  5.000000000E-01  2.383841297E-02  5.070305840E+00 
        23  5.000000000E-01  2.871203202E-02  5.075745953E+00 
        24  5.000000000E-01  3.456037487E-02  5.077857132E+00 
        25  5.000000000E-01  4.157838629E-02  5.078164038E+00 
        26  5.000000000E-01  5.000000000E-02  5.078300302E+00 
